GENESIS-Tabelle: 71141-0001
Rechnungsergebnisse des öffentlichen Gesamthaushalts;;;;;;;;;
(Ausgaben): Deutschland, Jahre, Körperschaftsgruppen,;;;;;;;;;
Ausgabearten;;;;;;;;;
Rechnungsergebnisse d.öffentlichen Gesamthaushalts;;;;;;;;;
Deutschland;;;;;;;;;
Ausgaben der öffentlichen Haushalte (Mill. EUR);;;;;;;;;
;;Körperschaftsgruppen;Körperschaftsgruppen;Körperschaftsgruppen;Körperschaftsgruppen;Körperschaftsgruppen;Körperschaftsgruppen;Körperschaftsgruppen;Körperschaftsgruppen
;;Bund;Sondervermögen des Bundes;EU-Anteile;Sozialversicherung;Länder;Gemeinden / Gemeindeverbände;Zweckverbände;Insgesamt
Zuw. f. Invest., Vermögensübertr. an öff. Bereich;2001;9496;-;-;-;10613;1377;32;21518
Zuw. f. Invest., Vermögensübertr. an öff. Bereich;2002;6336;-;-;-;11071;1475;29;18910
Zuw. f. Invest., Vermögensübertr. an öff. Bereich;2003;7998;1594;-;-;12877;1379;45;23894
Zuw. f. Invest., Vermögensübertr. an öff. Bereich;2004;5607;1051;-;-;10947;1286;41;18932
Zuw. f. Invest., Vermögensübertr. an öff. Bereich;2005;5587;495;-;-;10407;1310;26;17825
Zuw. f. Invest., Vermögensübertr. an öff. Bereich;2006;5755;291;-;-;10752;1157;32;17987
Zuw. f. Invest., Vermögensübertr. an öff. Bereich;2007;8234;-;-;-;11164;1214;38;20650
Zuw. f. Invest., Vermögensübertr. an öff. Bereich;2008;5713;62;-;-;11248;871;38;17932
Zuw. f. Invest., Vermögensübertr. an öff. Bereich;2009;5852;1602;-;-;11892;959;36;20341
Zuw. f. Invest., Vermögensübertr. an öff. Bereich;2010;5209;4661;-;-;13872;945;43;24731
Zuw. f. Invest., Vermögensübertr. an öff. Bereich;2011;5243;5027;-;-;13765;923;40;24998
Zuschüsse f. Inv., Verm.übertr. an andere Bereiche;1992;11768;82;-;5217;11754;1904;17;30742
Zuschüsse f. Inv., Verm.übertr. an andere Bereiche;1993;10819;65;-;5603;11971;2201;34;30694
Zuschüsse f. Inv., Verm.übertr. an andere Bereiche;1994;7548;57;-;5272;12527;2353;69;27826
Zuschüsse f. Inv., Verm.übertr. an andere Bereiche;1995;7769;547;-;5567;13058;2383;60;29384
Zuschüsse f. Inv., Verm.übertr. an andere Bereiche;1996;6679;521;-;5495;13300;2436;80;28510
Zuschüsse f. Inv., Verm.übertr. an andere Bereiche;1997;5945;141;-;4496;13119;2524;82;26307
Zuschüsse f. Inv., Verm.übertr. an andere Bereiche;1998;7867;1178;-;5290;14285;2381;53;31055
Zuschüsse f. Inv., Verm.übertr. an andere Bereiche;1999;7574;672;-;5654;13779;2396;73;30148
Zuschüsse f. Inv., Verm.übertr. an andere Bereiche;2000;9516;247;-;4393;13408;2410;46;30019
Zuschüsse f. Inv., Verm.übertr. an andere Bereiche;2001;7604;203;-;3643;13039;2463;58;27009
Zuschüsse f. Inv., Verm.übertr. an andere Bereiche;2002;8227;129;-;3062;12263;2357;47;26085
Zuschüsse f. Inv., Verm.übertr. an andere Bereiche;2003;8208;401;-;2312;12270;2422;69;25682
Zuschüsse f. Inv., Verm.übertr. an andere Bereiche;2004;7313;435;-;1662;11216;2073;65;22765
Zuschüsse f. Inv., Verm.übertr. an andere Bereiche;2005;7390;317;-;444;10780;2113;43;21088
Zuschüsse f. Inv., Verm.übertr. an andere Bereiche;2006;7547;344;-;182;10564;2140;57;20834
Zuschüsse f. Inv., Verm.übertr. an andere Bereiche;2007;8713;365;-;85;10158;2010;53;21384
Zuschüsse f. Inv., Verm.übertr. an andere Bereiche;2008;10947;352;-;50;10945;1960;60;24313
Zuschüsse f. Inv., Verm.übertr. an andere Bereiche;2009;9767;4470;-;190;10818;2028;70;27344
Zuschüsse f. Inv., Verm.übertr. an andere Bereiche;2010;10141;1243;-;170;11522;2343;59;25478
Zuschüsse f. Inv., Verm.übertr. an andere Bereiche;2011;10047;921;-;2;11091;2437;61;24558
