GENESIS-Tabelle: 71141-0002
Rechnungsergebnisse des öffentlichen Gesamthaushalts;;;;;;;;;
(Einnahmen): Deutschland, Jahre, Körperschaftsgruppen,;;;;;;;;;
Einnahmearten;;;;;;;;;
Rechnungsergebnisse d.öffentlichen Gesamthaushalts;;;;;;;;;
Deutschland;;;;;;;;;
Einnahmen der öffentlichen Haushalte (Mill. EUR);;;;;;;;;
;;Körperschaftsgruppen;Körperschaftsgruppen;Körperschaftsgruppen;Körperschaftsgruppen;Körperschaftsgruppen;Körperschaftsgruppen;Körperschaftsgruppen;Körperschaftsgruppen
;;Bund;Sondervermögen des Bundes;EU-Anteile;Sozialversicherung;Länder;Gemeinden / Gemeindeverbände;Zweckverbände;Insgesamt
Zuweisungen f.Invest., Vermögensübertr. v.öff.Ber.;2000;11;4;-;-;11696;9295;437;21443
Zuweisungen f.Invest., Vermögensübertr. v.öff.Ber.;2001;10;4;-;-;11243;8995;360;20612
Zuweisungen f.Invest., Vermögensübertr. v.öff.Ber.;2002;9;6;-;-;8170;9035;347;17567
Zuweisungen f.Invest., Vermögensübertr. v.öff.Ber.;2003;3;6;-;-;8423;8755;363;17550
Zuweisungen f.Invest., Vermögensübertr. v.öff.Ber.;2004;-;21;-;-;8505;8528;355;17409
Zuweisungen f.Invest., Vermögensübertr. v.öff.Ber.;2005;0;34;-;-;7236;8248;319;15838
Zuweisungen f.Invest., Vermögensübertr. v.öff.Ber.;2006;0;29;-;-;7287;8069;325;15710
Zuweisungen f.Invest., Vermögensübertr. v.öff.Ber.;2007;254;2175;-;-;7519;8528;349;18825
Zuweisungen f.Invest., Vermögensübertr. v.öff.Ber.;2008;-;18;-;-;7008;8536;344;15906
Zuweisungen f.Invest., Vermögensübertr. v.öff.Ber.;2009;-;11;-;-;8867;9019;374;18271
Zuweisungen f.Invest., Vermögensübertr. v.öff.Ber.;2010;-;17;-;-;11162;10586;397;22163
Zuweisungen f.Invest., Vermögensübertr. v.öff.Ber.;2011;-;10;-;-;11419;10186;407;22023
Zuschüsse f. Invest., Vermögensübertr. v. and.Ber.;1992;14;-;-;-;411;2892;115;3431
Zuschüsse f. Invest., Vermögensübertr. v. and.Ber.;1993;2;14;-;-;490;3287;129;3922
Zuschüsse f. Invest., Vermögensübertr. v. and.Ber.;1994;3;56;-;-;846;3529;187;4621
Zuschüsse f. Invest., Vermögensübertr. v. and.Ber.;1995;8;94;-;-;966;3447;197;4712
Zuschüsse f. Invest., Vermögensübertr. v. and.Ber.;1996;4;108;-;-;1601;3391;193;5298
Zuschüsse f. Invest., Vermögensübertr. v. and.Ber.;1997;3;103;-;194;1878;3372;195;5745
Zuschüsse f. Invest., Vermögensübertr. v. and.Ber.;1998;2;92;0;123;1735;3330;144;5425
Zuschüsse f. Invest., Vermögensübertr. v. and.Ber.;1999;18;67;0;24;1427;3229;143;4907
Zuschüsse f. Invest., Vermögensübertr. v. and.Ber.;2000;2;66;0;2;1483;2944;120;4618
Zuschüsse f. Invest., Vermögensübertr. v. and.Ber.;2001;120;56;-;0;1874;2788;110;4947
Zuschüsse f. Invest., Vermögensübertr. v. and.Ber.;2002;233;43;-;-;1976;2647;103;5002
Zuschüsse f. Invest., Vermögensübertr. v. and.Ber.;2003;41;40;-;-;2257;2588;94;5020
Zuschüsse f. Invest., Vermögensübertr. v. and.Ber.;2004;7;32;-;-;2204;2396;86;4725
Zuschüsse f. Invest., Vermögensübertr. v. and.Ber.;2005;1;-;-;-;3068;2284;80;5434
Zuschüsse f. Invest., Vermögensübertr. v. and.Ber.;2006;51;-;-;-;3083;2090;83;5307
Zuschüsse f. Invest., Vermögensübertr. v. and.Ber.;2007;46;-;-;-;2889;1981;67;4984
Zuschüsse f. Invest., Vermögensübertr. v. and.Ber.;2008;226;-;-;-;2438;1778;59;4500
Zuschüsse f. Invest., Vermögensübertr. v. and.Ber.;2009;299;-;-;-;2617;1717;67;4700
Zuschüsse f. Invest., Vermögensübertr. v. and.Ber.;2010;260;-;-;-;2090;1772;76;4198
Zuschüsse f. Invest., Vermögensübertr. v. and.Ber.;2011;390;9;-;-;2950;1850;59;5258
Darlehensrückflüsse vom öffentlichen Bereich;1992;441;54;-;-;68;58;3;624
Darlehensrückflüsse vom öffentlichen Bereich;1993;423;53;-;-;109;82;5;672
Darlehensrückflüsse vom öffentlichen Bereich;1994;429;35;-;-;108;71;2;646
Darlehensrückflüsse vom öffentlichen Bereich;1995;463;27;-;-;113;61;3;667
Darlehensrückflüsse vom öffentlichen Bereich;1996;419;40;-;-;229;73;3;764
Darlehensrückflüsse vom öffentlichen Bereich;1997;484;26;-;-;245;96;3;854
Darlehensrückflüsse vom öffentlichen Bereich;1998;498;14;-;-;260;67;3;842
Darlehensrückflüsse vom öffentlichen Bereich;1999;516;8;-;-;200;55;3;781
Darlehensrückflüsse vom öffentlichen Bereich;2000;743;7;-;-;214;45;3;1012
Darlehensrückflüsse vom öffentlichen Bereich;2001;142;4;-;-;264;98;2;509
Darlehensrückflüsse vom öffentlichen Bereich;2002;484;165;-;-;422;65;2;1139
Darlehensrückflüsse vom öffentlichen Bereich;2003;468;132;-;-;249;52;2;902
Darlehensrückflüsse vom öffentlichen Bereich;2004;565;0;-;-;243;39;2;849
Darlehensrückflüsse vom öffentlichen Bereich;2005;1426;-;-;-;219;41;2;1688
